"No.","Time","Source","Destination","Protocol","Length","Info"
"6","0.000144","127.0.0.1","127.0.0.1","HTTP","217","GET / HTTP/1.1 "
"20","0.308329","127.0.0.1","127.0.0.1","HTTP","217","GET / HTTP/1.1 "
"34","0.616648","127.0.0.1","127.0.0.1","HTTP","217","GET / HTTP/1.1 "
"48","0.922454","127.0.0.1","127.0.0.1","HTTP","217","GET / HTTP/1.1 "
"62","1.225726","127.0.0.1","127.0.0.1","HTTP","217","GET / HTTP/1.1 "
"76","2.156313","127.0.0.1","127.0.0.1","HTTP","217","GET / HTTP/1.1 "
"90","2.461183","127.0.0.1","127.0.0.1","HTTP","217","GET / HTTP/1.1 "
"104","2.767835","127.0.0.1","127.0.0.1","HTTP","217","GET / HTTP/1.1 "
"118","3.074922","127.0.0.1","127.0.0.1","HTTP","217","GET / HTTP/1.1 "
"132","3.379552","127.0.0.1","127.0.0.1","HTTP","217","GET / HTTP/1.1 "
"146","9.055571","127.0.0.1","127.0.0.1","HTTP","217","GET / HTTP/1.1 "
"160","9.360232","127.0.0.1","127.0.0.1","HTTP","217","GET / HTTP/1.1 "
"174","9.663403","127.0.0.1","127.0.0.1","HTTP","217","GET / HTTP/1.1 "
"188","9.967210","127.0.0.1","127.0.0.1","HTTP","217","GET / HTTP/1.1 "
