---------------------------------------------------------------------------------------------------
Date: 11/4/2025 -- 20:14:02 (uptime: 0d, 00h 00m 00s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 200
decoder.bytes                                                | Total                     | 33212
decoder.ipv4                                                 | Total                     | 170
decoder.ipv6                                                 | Total                     | 30
decoder.sll2                                                 | Total                     | 200
decoder.tcp                                                  | Total                     | 200
tcp.syn                                                      | Total                     | 30
tcp.synack                                                   | Total                     | 15
tcp.rst                                                      | Total                     | 15
decoder.avg_pkt_size                                         | Total                     | 166
decoder.max_pkt_size                                         | Total                     | 1059
flow.total                                                   | Total                     | 30
flow.tcp                                                     | Total                     | 30
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 9
tcp.sessions                                                 | Total                     | 30
tcp.ssn_from_pool                                            | Total                     | 30
tcp.segment_from_cache                                       | Total                     | 28
tcp.segment_from_pool                                        | Total                     | 14
app_layer.flow.http                                          | Total                     | 14
app_layer.tx.http                                            | Total                     | 14
flow.end.state.new                                           | Total                     | 1
flow.end.state.closed                                        | Total                     | 29
flow.end.tcp_state.syn_recv                                  | Total                     | 1
flow.end.tcp_state.closed                                    | Total                     | 29
flow.mgr.rows_per_sec                                        | Total                     | 7208
flow.spare                                                   | Total                     | 9200
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 1
flow.mgr.flows_notimeout                                     | Total                     | 1
memcap.pressure                                              | Total                     | 11
memcap.pressure_max                                          | Total                     | 11
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 30
flow.recycler.queue_max                                      | Total                     | 25
tcp.memuse                                                   | Total                     | 7471104
tcp.reassembly_memuse                                        | Total                     | 1376256
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7154304
---------------------------------------------------------------------------------------------------
Date: 11/4/2025 -- 20:17:46 (uptime: 0d, 00h 00m 00s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 200
decoder.bytes                                                | Total                     | 33212
decoder.ipv4                                                 | Total                     | 170
decoder.ipv6                                                 | Total                     | 30
decoder.sll2                                                 | Total                     | 200
decoder.tcp                                                  | Total                     | 200
tcp.syn                                                      | Total                     | 30
tcp.synack                                                   | Total                     | 15
tcp.rst                                                      | Total                     | 15
decoder.avg_pkt_size                                         | Total                     | 166
decoder.max_pkt_size                                         | Total                     | 1059
flow.total                                                   | Total                     | 30
flow.tcp                                                     | Total                     | 30
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 11
flow.wrk.flows_evicted_needs_work                            | Total                     | 1
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 1
flow.wrk.flows_injected                                      | Total                     | 1
tcp.sessions                                                 | Total                     | 30
tcp.ssn_from_pool                                            | Total                     | 30
tcp.segment_from_cache                                       | Total                     | 30
tcp.segment_from_pool                                        | Total                     | 12
detect.alert                                                 | Total                     | 14
app_layer.flow.http                                          | Total                     | 14
app_layer.tx.http                                            | Total                     | 14
flow.end.state.new                                           | Total                     | 1
flow.end.state.closed                                        | Total                     | 29
flow.end.tcp_state.syn_recv                                  | Total                     | 1
flow.end.tcp_state.closed                                    | Total                     | 29
flow.mgr.rows_per_sec                                        | Total                     | 7208
flow.spare                                                   | Total                     | 9100
memcap.pressure                                              | Total                     | 11
memcap.pressure_max                                          | Total                     | 11
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 29
flow.recycler.queue_max                                      | Total                     | 29
tcp.memuse                                                   | Total                     | 7471104
tcp.reassembly_memuse                                        | Total                     | 1376256
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7154304
---------------------------------------------------------------------------------------------------
Date: 11/4/2025 -- 20:43:48 (uptime: 0d, 00h 00m 02s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 900
decoder.bytes                                                | Total                     | 148144
decoder.ipv4                                                 | Total                     | 762
decoder.ipv6                                                 | Total                     | 138
decoder.sll2                                                 | Total                     | 900
decoder.tcp                                                  | Total                     | 900
tcp.syn                                                      | Total                     | 137
tcp.synack                                                   | Total                     | 68
tcp.rst                                                      | Total                     | 69
decoder.avg_pkt_size                                         | Total                     | 164
decoder.max_pkt_size                                         | Total                     | 1059
flow.total                                                   | Total                     | 108
flow.tcp                                                     | Total                     | 108
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 12
flow.wrk.flows_evicted_needs_work                            | Total                     | 6
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 10
flow.wrk.flows_evicted                                       | Total                     | 1
flow.wrk.flows_injected                                      | Total                     | 6
flow.wrk.flows_injected_max                                  | Total                     | 1
tcp.sessions                                                 | Total                     | 108
tcp.ssn_from_cache                                           | Total                     | 2
tcp.ssn_from_pool                                            | Total                     | 106
tcp.segment_from_cache                                       | Total                     | 121
tcp.segment_from_pool                                        | Total                     | 28
detect.alert                                                 | Total                     | 51
app_layer.flow.http                                          | Total                     | 51
app_layer.tx.http                                            | Total                     | 51
flow.end.state.new                                           | Total                     | 2
flow.end.state.established                                   | Total                     | 4
flow.end.state.closed                                        | Total                     | 102
flow.end.tcp_state.syn_recv                                  | Total                     | 2
flow.end.tcp_state.established                               | Total                     | 4
flow.end.tcp_state.closed                                    | Total                     | 102
flow.mgr.rows_per_sec                                        | Total                     | 7208
flow.spare                                                   | Total                     | 9918
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 33
flow.mgr.flows_notimeout                                     | Total                     | 7
flow.mgr.flows_timeout                                       | Total                     | 26
flow.mgr.flows_evicted                                       | Total                     | 26
flow.mgr.flows_evicted_needs_work                            | Total                     | 2
memcap.pressure                                              | Total                     | 11
memcap.pressure_max                                          | Total                     | 11
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 102
flow.recycler.queue_max                                      | Total                     | 53
tcp.memuse                                                   | Total                     | 7471104
tcp.reassembly_memuse                                        | Total                     | 1376256
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7479904
---------------------------------------------------------------------------------------------------
Date: 11/4/2025 -- 20:45:46 (uptime: 0d, 00h 00m 00s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 200
decoder.bytes                                                | Total                     | 33212
decoder.ipv4                                                 | Total                     | 170
decoder.ipv6                                                 | Total                     | 30
decoder.sll2                                                 | Total                     | 200
decoder.tcp                                                  | Total                     | 200
tcp.syn                                                      | Total                     | 30
tcp.synack                                                   | Total                     | 15
tcp.rst                                                      | Total                     | 15
decoder.avg_pkt_size                                         | Total                     | 166
decoder.max_pkt_size                                         | Total                     | 1059
flow.total                                                   | Total                     | 30
flow.tcp                                                     | Total                     | 30
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 10
flow.wrk.flows_evicted_needs_work                            | Total                     | 1
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 1
flow.wrk.flows_injected                                      | Total                     | 1
tcp.sessions                                                 | Total                     | 30
tcp.ssn_from_pool                                            | Total                     | 30
tcp.segment_from_cache                                       | Total                     | 26
tcp.segment_from_pool                                        | Total                     | 16
detect.alert                                                 | Total                     | 14
app_layer.flow.http                                          | Total                     | 14
app_layer.tx.http                                            | Total                     | 14
flow.end.state.new                                           | Total                     | 1
flow.end.state.closed                                        | Total                     | 29
flow.end.tcp_state.syn_recv                                  | Total                     | 1
flow.end.tcp_state.closed                                    | Total                     | 29
flow.mgr.rows_per_sec                                        | Total                     | 7208
flow.spare                                                   | Total                     | 9200
memcap.pressure                                              | Total                     | 11
memcap.pressure_max                                          | Total                     | 11
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 29
flow.recycler.queue_max                                      | Total                     | 25
tcp.memuse                                                   | Total                     | 7471104
tcp.reassembly_memuse                                        | Total                     | 1376256
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7154304
---------------------------------------------------------------------------------------------------
Date: 11/4/2025 -- 20:56:17 (uptime: 0d, 00h 00m 00s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 200
decoder.bytes                                                | Total                     | 33212
decoder.ipv4                                                 | Total                     | 170
decoder.ipv6                                                 | Total                     | 30
decoder.sll2                                                 | Total                     | 200
decoder.tcp                                                  | Total                     | 200
tcp.syn                                                      | Total                     | 30
tcp.synack                                                   | Total                     | 15
tcp.rst                                                      | Total                     | 15
decoder.avg_pkt_size                                         | Total                     | 166
decoder.max_pkt_size                                         | Total                     | 1059
flow.total                                                   | Total                     | 30
flow.tcp                                                     | Total                     | 30
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 12
flow.wrk.flows_evicted_needs_work                            | Total                     | 1
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 1
flow.wrk.flows_injected                                      | Total                     | 1
tcp.sessions                                                 | Total                     | 30
tcp.ssn_from_pool                                            | Total                     | 30
tcp.segment_from_cache                                       | Total                     | 26
tcp.segment_from_pool                                        | Total                     | 16
detect.alert                                                 | Total                     | 14
app_layer.flow.http                                          | Total                     | 14
app_layer.tx.http                                            | Total                     | 14
flow.end.state.new                                           | Total                     | 1
flow.end.state.closed                                        | Total                     | 29
flow.end.tcp_state.syn_recv                                  | Total                     | 1
flow.end.tcp_state.closed                                    | Total                     | 29
flow.mgr.rows_per_sec                                        | Total                     | 7208
flow.spare                                                   | Total                     | 9200
memcap.pressure                                              | Total                     | 11
memcap.pressure_max                                          | Total                     | 11
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 29
flow.recycler.queue_max                                      | Total                     | 25
tcp.memuse                                                   | Total                     | 7471104
tcp.reassembly_memuse                                        | Total                     | 1376256
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7154304
